round	value	daily_double	category	comments	answer	question	air_date	notes
1	100	no	LAKES & RIVERS	-	River mentioned most often in the Bible	the Jordan	9/10/1984	-
1	200	no	LAKES & RIVERS	-	Scottish word for lake	loch	9/10/1984	-
1	400	no	LAKES & RIVERS	-	American river only 33 miles shorter than the Mississippi	the Missouri	9/10/1984	-
1	500	no	LAKES & RIVERS	-	"World's largest lake, nearly 5 times as big as Superior"	the Caspian Sea	9/10/1984	-
1	100	no	INVENTIONS	-	Marconi's wonderful wireless	the radio	9/10/1984	-
1	200	no	INVENTIONS	-	"In 1869 an American minister created this ""oriental"" transportation"	the rickshaw	9/10/1984	-
1	300	no	INVENTIONS	-	A 1920's hunting trip to Canada inspired Birdseye's food preserving method	freezing	9/10/1984	-
1	400	no	INVENTIONS	-	This fastener gets its name from a brand of galoshes it was used on	a zipper	9/10/1984	-
1	100	no	ANIMALS	-	These rodents first got to America by stowing away on ships	rats	9/10/1984	-
1	200	no	ANIMALS	-	"There are about 40,000 muscles & tendons in this part of an elephant's body"	the trunk	9/10/1984	-
1	300	no	ANIMALS	-	"When husbands ""pop"" for an ermine coat, they're actually buying this fur"	a weasel	9/10/1984	-
1	400	no	ANIMALS	-	"Close relative of the pig, though its name means ""river horse\"""	the hippopotamus	9/10/1984	-
1	500	no	ANIMALS	-	"If this species of hybrid's parents were reversed, you'd get a hinny"	mule	9/10/1984	-
1	100	no	FOREIGN CUISINE	-	"The ""coq"" in coq au vin"	chicken	9/10/1984	-
1	200	no	FOREIGN CUISINE	-	"A British variety is called ""bangers"", a Mexican variety, ""chorizo\"""	sausages	9/10/1984	-
1	300	no	FOREIGN CUISINE	-	Jewish crepe filled with cheese	a blintz	9/10/1984	-
1	400	no	FOREIGN CUISINE	-	French for a toothsome cut of beef served to a twosome	Châteaubriand	9/10/1984	-
1	100	no	ACTORS & ROLES	-	Video in which Michael Jackson plays a werewolf & a zombie	"\""Thriller\"""	9/10/1984	-
1	200	no	ACTORS & ROLES	-	"2 ""Saturday Night"" alumni who tried ""Trading Places\"""	Dan Aykroyd & Eddie Murphy	9/10/1984	-
1	300	no	ACTORS & ROLES	-	"He may ""Never Say Never Again"" when asked to be Bond"	Sean Connery	9/10/1984	-
1	400	no	ACTORS & ROLES	-	"The blonde preferred in the film ""Gentlemen Prefer Blondes\"""	Marilyn Monroe	9/10/1984	-
1	500	no	ACTORS & ROLES	-	"Sam Shepard played this barrier breaker in ""The Right Stuff\"""	Colonel Chuck Yeager	9/10/1984	-
2	200	no	THE BIBLE	-	"When ""Joshua Fit The Battle Of Jericho"", these took a tumble"	the walls	9/10/1984	-
2	400	no	THE BIBLE	-	His price was 30 pieces of silver	Judas	9/10/1984	-
2	600	no	THE BIBLE	-	"According to the Bible, it wasn't necessarily an apple"	the forbidden fruit (or the fruit of the Tree of Knowledge)	9/10/1984	-
2	800	no	THE BIBLE	-	"Though its name means ""city of peace"", it's seen over 30 wars, the last in 1967"	Jerusalem	9/10/1984	-
2	1000	no	THE BIBLE	-	"According to 1st Timothy, it is the ""root of all evil\"""	the love of money	9/10/1984	-
2	200	no	\'50'S TV	-	"Occupation of Richard Diamond, Peter Gunn & Mike Hammer"	private eyes (or private detectives)	9/10/1984	-
2	400	no	\'50'S TV	-	"She was ""Our Miss Brooks\"""	Eve Arden	9/10/1984	-
2	600	no	\'50'S TV	-	Amount Michael Anthony gave out each week on behalf of John Beresford Tipton	$1 million	9/10/1984	-
2	800	no	\'50'S TV	-	"His card read ""Have gun, will travel\"""	Paladin (Richard Boone)	9/10/1984	-
2	1000	no	\'50'S TV	-	Name under which experimenter Don Herbert taught viewers all about science	Mr. Wizard	9/10/1984	-
2	200	no	NATIONAL LANDMARKS	-	She came from France to harbor America's freedom	the Statue of Liberty	9/10/1984	-
2	400	no	NATIONAL LANDMARKS	-	"When he was home, George Washington slept here"	Mount Vernon	9/10/1984	-
2	600	no	NATIONAL LANDMARKS	-	"The cornerstone of Massachusetts, it bears the date 1620"	Plymouth Rock	9/10/1984	-
2	800	no	NATIONAL LANDMARKS	-	"Site where John Hancock signed his ""John Hancock\"""	Independence Hall	9/10/1984	-
2	1000	no	NATIONAL LANDMARKS	-	D.C. building shaken by November '83 bomb blast	the Capitol	9/10/1984	-
2	200	no	NOTORIOUS	-	"It was probably a lyre, not a fiddle, if he played it while Rome burned"	Nero	9/10/1984	-
2	400	no	NOTORIOUS	-	"His book, translated as ""My Struggle"", outlined plans to conquer Europe"	Adolf Hitler	9/10/1984	-
2	600	no	NOTORIOUS	-	"Lenin called him ruthless, and his purges proved he was"	Stalin	9/10/1984	-
2	1000	no	NOTORIOUS	-	"After the deed, he leaped to the stage shouting ""Sic semper tyrannis\"""	John Wilkes Booth	9/10/1984	-
2	200	no	4-LETTER WORDS	-	Pulled the trigger or what's in a jigger	shot	9/10/1984	-
2	400	no	4-LETTER WORDS	-	Basketball defense or Serling's twilight area	zone	9/10/1984	-
2	600	no	4-LETTER WORDS	-	"Little girls do it with a rope, Van Halen does it in a song"	jump	9/10/1984	-
2	1000	yes	4-LETTER WORDS	-	"It's the first 4-letter word in ""The Star Spangled Banner\"""	what	9/10/1984	-
2	1000	no	4-LETTER WORDS	-	The president takes one before stepping into office	oath	9/10/1984	-
3	0	no	HOLIDAYS	-	The third Monday of January starting in 1986	Martin Luther King Day	9/10/1984	-
